"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"broken","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:11 GMT 2023","1480","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","4","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","6","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"broken","Thu Jul 27 16:06:11 GMT 2023","Thu Jul 27 16:06:11 GMT 2023","27","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"broken","Thu Jul 27 16:06:11 GMT 2023","Thu Jul 27 16:06:11 GMT 2023","17","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","16","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Thu Jul 27 16:06:05 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","3822","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Thu Jul 27 16:06:09 GMT 2023","Thu Jul 27 16:06:09 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
