"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:21 GMT 2023","3051","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"passed","Thu Jun 22 08:57:14 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","3638","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","13","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Thu Jun 22 08:57:21 GMT 2023","Thu Jun 22 08:57:23 GMT 2023","1623","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Thu Jun 22 08:57:23 GMT 2023","Thu Jun 22 08:57:24 GMT 2023","1720","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"passed","Thu Jun 22 08:57:18 GMT 2023","Thu Jun 22 08:57:18 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
