"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"broken","Wed Jun 21 16:06:08 GMT 2023","Wed Jun 21 16:06:09 GMT 2023","145","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"broken","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:08 GMT 2023","1849","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Wed Jun 21 16:05:59 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","7345","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"broken","Wed Jun 21 16:06:08 GMT 2023","Wed Jun 21 16:06:08 GMT 2023","158","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Wed Jun 21 16:06:06 GMT 2023","Wed Jun 21 16:06:06 GMT 2023","25","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
