"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"broken","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:03 GMT 2023","1588","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","22","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"broken","Thu Jul 27 14:10:03 GMT 2023","Thu Jul 27 14:10:03 GMT 2023","35","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"broken","Thu Jul 27 14:10:03 GMT 2023","Thu Jul 27 14:10:03 GMT 2023","22","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"passed","Thu Jul 27 14:09:57 GMT 2023","Thu Jul 27 14:10:01 GMT 2023","4003","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","0","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Thu Jul 27 14:10:02 GMT 2023","Thu Jul 27 14:10:02 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
