"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","4","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","8","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"broken","Wed Jun 21 16:15:20 GMT 2023","Wed Jun 21 16:15:20 GMT 2023","214","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","4","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"broken","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:20 GMT 2023","1570","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","28","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"broken","Wed Jun 21 16:15:20 GMT 2023","Wed Jun 21 16:15:20 GMT 2023","210","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"passed","Wed Jun 21 16:15:14 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","4481","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Wed Jun 21 16:15:18 GMT 2023","Wed Jun 21 16:15:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
