"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Wed Jun 21 17:38:41 GMT 2023","Wed Jun 21 17:38:43 GMT 2023","2210","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","9","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","37","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:41 GMT 2023","4146","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Wed Jun 21 17:38:32 GMT 2023","Wed Jun 21 17:38:36 GMT 2023","4208","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Wed Jun 21 17:38:37 GMT 2023","Wed Jun 21 17:38:37 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"failed","Wed Jun 21 17:38:43 GMT 2023","Wed Jun 21 17:38:45 GMT 2023","2139","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
